"Id","CanonicalCandidate","DuplicateCount","Locations"
"acoustic-guitar","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"adrenaline-shot","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"advanced-arc-powercell","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"advanced-electrical-components","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"advanced-mechanical-components","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"agave","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","4","lib\features\trading_hub\arc_raiders\data\arc_scrappy_food_queue_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"agave-juice","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"alien-duck","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"ancient-fort-security-code","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"angled-grip-i","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"angled-grip-ii","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart","3","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"angled-grip-iii","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart","3","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"antiseptic","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"anvil","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart","3","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"anvil-splitter","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"aphelion","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart","3","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"apricot","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"apricots","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart","2","lib\features\trading_hub\arc_raiders\data\arc_scrappy_food_queue_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart"
"apricots-tier-2","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_scrappy_seed_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"arc-alloy","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"arc-circuitry","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"arc-coolant","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"arc-flex-rubber","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"arc-motion-core","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"arc-motion-cores","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"arc-performance-steel","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"arc-powercell","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"arc-powercells","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"arc-synthetic-resin","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"arc-thermo-lining","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"arpeggio","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"assessor-matrix","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"assorted-seeds","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"bandage","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"bastion-cell","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"bastion-cells","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"battery","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"beachcombing-cache","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"bettina","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart","3","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"bicycle-pump","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"blue-gate-cellar-key","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"blue-gate-communication-tower-key","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"blue-gate-confiscation-room-key","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"blue-gate-village-key","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"bobcat","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart","3","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"bombardier-cell","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"bombardier-cells","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"breach-room","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"breach-room-key","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"buried-city-hospital-key","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"buried-city-jkv-employee-access-card","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"buried-city-residential-master-key","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"buried-city-town-hall-key","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"burletta","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart","3","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"camera-lens","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"canister","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"canto","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart","3","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"cat-bed","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_scrappy_seed_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"chemicals","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"chip-pods","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"coffee-pot","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"comet-igniter","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"compensator-i","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"compensator-ii","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart","3","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"compensator-iii","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart","3","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"complex-gun-parts","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart","3","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"cool-box-on-wheels","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"cracked-bioscanners","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"crude-explosives","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"damaged-heat-sink","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"damaged-heat-sinks","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"dam-controlled-access-zone-key","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"dam-control-tower-key","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"dam-staff-room-key","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"dam-surveillance-key","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"dam-testing-annex-key","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"dam-utility-key","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"deflated-football","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"dog-collar","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_scrappy_seed_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"dolabra","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart","3","lib\features\trading_hub\arc_raiders\data\arc_blueprint_seed_data.dart | lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"duct-tape","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"durable-cloth","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"electrical-components","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","3","lib\features\trading_hub\arc_raiders\data\arc_trade_catalog.dart | lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"empty-wine-bottle","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
"energy-ammo","lib\features\trading_hub\arc_raiders\data\unified_item_index.dart","2","lib\features\trading_hub\arc_raiders\data\trade_items_data.dart | lib\features\trading_hub\arc_raiders\data\unified_item_index.dart"
